SEQID	Genome size	circ.	Coverage	Completeness	Contamination	classification	simple_classification	Species	Phylum	Genus	5S ribosomal RNA	16S ribosomal RNA	23S ribosomal RNA	# 5S rRNA/16S rRNA / 23S rRNA	Number_of_tRNA	Contigs	Passed_assembly_QC	Assembly_QC_reason	In_bac120_MSA	N_bac120_markers	In_bac120_tree	Tree_exclusion_reason	AntiSMASH_failure	AntiSMASH_OK	GenomeQ	ID	inhibit Enterococcus mundtii DSM 4838	inhibit Enterobacter mori DSM 26271	inhibit Staphylococcus epidermidis AU 24	inhibit Escherichia coli DSM 498	inhibit Pseudomonas putida DSM 6125	inhibit Acinetobacter baylyi DSM 14961	inhibit Staphylococcus aureus DSM 20231
PAQ87969.barcode12	5362671	N	54	100	0.72	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__DSM-1321;g__Peribacillus;s__Peribacillus frigoritolerans	Bacillota - g__Peribacillus	Peribacillus frigoritolerans	p__Bacillota	g__Peribacillus	14	12	14	14/12/14	25	2	TRUE	NA	TRUE	112	TRUE	NA	NA	TRUE	High quality genome	NA	NA	NA	NA	NA	NA	NA	NA
PAQ87969.barcode13	5493907	Y	54	100	0.75	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__DSM-1321;g__Peribacillus;s__Peribacillus frigoritolerans	Bacillota - g__Peribacillus	Peribacillus frigoritolerans	p__Bacillota	g__Peribacillus	14	14	14	14/14/14	25	1	TRUE	NA	TRUE	112	TRUE	NA	NA	TRUE	High quality genome	NA	NA	NA	NA	NA	NA	NA	NA
PAQ87969.barcode14	5508208	Y	50	100	0.61	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__DSM-1321;g__Peribacillus;s__Peribacillus simplex	Bacillota - g__Peribacillus	Peribacillus simplex	p__Bacillota	g__Peribacillus	15	14	14	15/14/14	25	3	TRUE	NA	TRUE	113	TRUE	NA	NA	TRUE	High quality genome	NA	NA	NA	NA	NA	NA	NA	NA
PAQ87969.barcode15	5080583	Y	61	100	0.18	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter mori	Pseudomonadota - g__Enterobacter	Enterobacter mori	p__Pseudomonadota	g__Enterobacter	9	8	8	9/8/8	27	1	TRUE	NA	TRUE	118	TRUE	NA	NA	TRUE	High quality genome	NA	NA	NA	NA	NA	NA	NA	NA
PAQ87969.barcode16	5080601	Y	62	100	0.19	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter mori	Pseudomonadota - g__Enterobacter	Enterobacter mori	p__Pseudomonadota	g__Enterobacter	9	8	8	9/8/8	27	1	TRUE	NA	TRUE	118	TRUE	NA	NA	TRUE	High quality genome	NA	NA	NA	NA	NA	NA	NA	NA
PAQ87969.barcode17	2409464	Y	124	99.85	0.33	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Micrococcaceae;g__Micrococcus;s__Micrococcus luteus	Actinomycetota - g__Micrococcus	Micrococcus luteus	p__Actinomycetota	g__Micrococcus	2	2	2	2/2/2	23	12	TRUE	NA	TRUE	119	TRUE	NA	NA	TRUE	High quality genome	NA	NA	NA	NA	NA	NA	NA	NA
PAQ87969.barcode19	2316263	N	28	100	0.85	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces zaomyceticus	Actinomycetota - g__Streptomyces	Streptomyces zaomyceticus	p__Actinomycetota	g__Streptomyces	2	6	4	2/6/4	23	21	FALSE	contigs>20;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	High quality genome	MIDD2022-Gr14-R2A-16	0	1	1	1	0	1	0
PAQ87969.barcode20	3556697	N	30	100	0.06	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces sp026342235	Actinomycetota - g__Streptomyces	Streptomyces sp026342235	p__Actinomycetota	g__Streptomyces	5	8	8	5/8/8	22	10	TRUE	NA	TRUE	115	TRUE	NA	NA	TRUE	High quality genome	SILK2023-Gr2-R2A-11	1	0	0	0	0	0	0
PAQ87969.barcode21	28394	N	31	83.56	3.16	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces atratus_B	Actinomycetota - g__Streptomyces	Streptomyces atratus_B	p__Actinomycetota	g__Streptomyces	3	1	1	3/1/1	26	1505	FALSE	completeness<90;contigs>20;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	Medium quality genome	VIBO2023-Gr12-R2A-15	0	0	1	0	0	0	1
PAQ87969.barcode22	2469378	N	26	100	0.07	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces virginiae_A	Actinomycetota - g__Streptomyces	Streptomyces virginiae_A	p__Actinomycetota	g__Streptomyces	7	7	8	7/7/8	22	17	TRUE	NA	TRUE	116	TRUE	NA	NA	TRUE	High quality genome	VHG2023-Gr11-R2A-17	1	0	1	0	0	0	1
PAQ87969.barcode23	443694	Y	18	99.38	40.02	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Haematobacter;s__Haematobacter massiliensis	Pseudomonadota - g__Haematobacter	Haematobacter massiliensis	p__Pseudomonadota	g__Haematobacter	5	7	3	5/7/3	26	928	FALSE	contamination>=5;contigs>20;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	Unannotated genomes	HJØRSTx2023-Gr4-R2A-2	0	0	0	0	0	0	0
PAQ87969.barcode24	1304953	N	35	99.99	0.01	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces sp045040375	Actinomycetota - g__Streptomyces	Streptomyces sp045040375	p__Actinomycetota	g__Streptomyces	7	7	7	7/7/7	24	26	FALSE	contigs>20;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	High quality genome	MARSBioA2022-Gr1-R2A-1	1	0	1	0	0	0	0
PAQ87969.barcode25	4541336	N	32	100	0.97	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces sp036346295	Actinomycetota - g__Streptomyces	Streptomyces sp036346295	p__Actinomycetota	g__Streptomyces	7	7	7	7/7/7	23	7	TRUE	NA	TRUE	117	TRUE	NA	NA	TRUE	High quality genome	VHG2023-Gr8-R2A-20	1	0	1	0	0	0	1
PAQ87969.barcode26	5162470	Y	41	100	0.87	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_C;g__Variovorax;s__	Pseudomonadota - g__Variovorax	Variovorax sp.	p__Pseudomonadota	g__Variovorax	2	2	2	2/2/2	23	3	TRUE	NA	TRUE	118	TRUE	NA	NA	TRUE	High quality genome	HJØRSTX2023-Gr1-R2A-4	1	0	1	0	0	0	0
PAQ87969.barcode27	5968820	Y	50	99.98	0.03	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Aquipseudomonas;s__Aquipseudomonas capeferrum	Pseudomonadota - g__Aquipseudomonas	Aquipseudomonas capeferrum	p__Pseudomonadota	g__Aquipseudomonas	7	6	6	7/6/6	25	1	TRUE	NA	TRUE	118	TRUE	NA	NA	TRUE	High quality genome	MARS2023-Gr14-R2A-9	1	0	1	1	1	1	0
PAQ87969.barcode28	5613998	N	55	100	0.52	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Aquipseudomonas;s__Aquipseudomonas sp900187505	Pseudomonadota - g__Aquipseudomonas	Aquipseudomonas sp900187505	p__Pseudomonadota	g__Aquipseudomonas	8	7	7	8/7/7	24	1	TRUE	NA	TRUE	118	TRUE	NA	NA	TRUE	High quality genome	MARS2023-Gr13-10%NB-1	1	0	1	0	0	1	0
PAQ87969.barcode29	3066	N	3	6.38	0	Unclassified	NA - g__NA	NA	NA	NA	NA	NA	NA	NA	NA	3	FALSE	completeness<90;size<1500000;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	Low quality genome	GLHE2023-Gr8-10%NB-18	0	0	1	1	1	1	0
PAQ87969.barcode30	21600	N	6	35.05	0.72	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces sp026343345	Actinomycetota - g__Streptomyces	Streptomyces sp026343345	p__Actinomycetota	g__Streptomyces	1	2	1	1/2/1	14	735	FALSE	completeness<90;contigs>20;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	Low quality genome	PAD2021-Gr6-10%NB-5	0	0	0	0	0	0	0
PAQ87969.barcode31	2388209	N	34	100	0.05	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces niveus_A	Actinomycetota - g__Streptomyces	Streptomyces niveus_A	p__Actinomycetota	g__Streptomyces	7	7	3	7/7/3	24	14	TRUE	NA	TRUE	116	TRUE	NA	NA	TRUE	High quality genome	HJO2021-Gr2-10%NB-13	1	1	1	1	1	1	1
PAQ87969.barcode32	4858028	Y	61	100	0.9	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__	Pseudomonadota - g__Sphingomonas	Sphingomonas sp.	p__Pseudomonadota	g__Sphingomonas	3	3	3	3/3/3	23	2	TRUE	NA	TRUE	117	TRUE	NA	NA	TRUE	High quality genome	SILK2023-Gr13-10%NB-17	1	0	0	0	0	0	0
PAQ87969.barcode33	178942	N	13	90.88	1.77	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces sp045040105	Actinomycetota - g__Streptomyces	Streptomyces sp045040105	p__Actinomycetota	g__Streptomyces	0	2	1	0/2/1	23	346	FALSE	contigs>20;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	Medium quality genome	VIBO2023-Gr3-10%NB-10	NA	NA	NA	NA	NA	NA	NA
PAQ87969.barcode35	1926597	N	25	100	0.68	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces sp026339935	Actinomycetota - g__Streptomyces	Streptomyces sp026339935	p__Actinomycetota	g__Streptomyces	8	6	9	8/6/9	23	26	FALSE	contigs>20;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	High quality genome	MAR2020-JAR-10%NB-8	1	0	1	0	0	0	1
PAQ87969.barcode36	2254084	N	29	100	0.05	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces niveus	Actinomycetota - g__Streptomyces	Streptomyces niveus	p__Actinomycetota	g__Streptomyces	5	7	6	5/7/6	23	8	TRUE	NA	TRUE	115	TRUE	NA	NA	TRUE	High quality genome	HJO2021-Gr2-10%NB-14	1	0	1	0	0	0	1
PAQ87969.barcode37	4965043	N	29	100	1.15	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces sp026340975	Actinomycetota - g__Streptomyces	Streptomyces sp026340975	p__Actinomycetota	g__Streptomyces	6	7	7	6/7/7	22	6	TRUE	NA	TRUE	115	TRUE	NA	NA	TRUE	High quality genome	MAR2020-CLARA-10%NB-10	1	0	1	0	0	0	1
PAQ87969.barcode38	3890468	N	31	100	0.56	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces virginiae_A	Actinomycetota - g__Streptomyces	Streptomyces virginiae_A	p__Actinomycetota	g__Streptomyces	7	8	8	7/8/8	22	7	TRUE	NA	TRUE	116	TRUE	NA	NA	TRUE	High quality genome	MAR2020-CLARA-10%NB-15	1	0	0	0	0	0	0
PAQ87969.barcode39	9315117	N	31	99.91	0.76	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Kitasatospora;s__Kitasatospora sp045160805	Actinomycetota - g__Kitasatospora	Kitasatospora sp045160805	p__Actinomycetota	g__Kitasatospora	11	11	11	11/11/11	24	3	TRUE	NA	TRUE	114	TRUE	NA	NA	TRUE	High quality genome	VIBO2023-Gr12-AC-7	1	0	1	1	0	0	1
PAQ87969.barcode40	8429085	N	34	100	0.43	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces sp001279695	Actinomycetota - g__Streptomyces	Streptomyces sp001279695	p__Actinomycetota	g__Streptomyces	8	8	8	8/8/8	24	3	TRUE	NA	TRUE	114	TRUE	NA	NA	TRUE	High quality genome	SILK2023-Gr1-AC-1	0	0	1	0	0	0	1
PAQ87969.barcode41	5267092	N	31	100	1.5	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces sp001279695	Actinomycetota - g__Streptomyces	Streptomyces sp001279695	p__Actinomycetota	g__Streptomyces	7	8	7	7/8/7	24	12	TRUE	NA	TRUE	112	TRUE	NA	NA	TRUE	High quality genome	SILK2023-Gr17-AC-16	1	0	0	0	0	0	0
PAQ87969.barcode42	4494733	Y	68	100	0.05	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Microbacteriaceae;g__Agromyces;s__Agromyces sp051016555	Actinomycetota - g__Agromyces	Agromyces sp051016555	p__Actinomycetota	g__Agromyces	3	3	3	3/3/3	23	1	TRUE	NA	TRUE	118	TRUE	NA	NA	TRUE	High quality genome	MIDD2022-Gr3-AC-17	1	1	1	1	0	0	1
PAQ87969.barcode43	631929	N	22	100	0.14	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces sp026340595	Actinomycetota - g__Streptomyces	Streptomyces sp026340595	p__Actinomycetota	g__Streptomyces	5	5	5	5/5/5	24	70	FALSE	contigs>20;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	High quality genome	PAD2021-Gr5-AC-7	0	0	0	0	0	0	0
PAQ87969.barcode44	5002350	N	31	100	1.5	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Kitasatospora;s__Kitasatospora sp040651915	Actinomycetota - g__Kitasatospora	Kitasatospora sp040651915	p__Actinomycetota	g__Kitasatospora	12	11	12	12/11/12	26	7	TRUE	NA	TRUE	115	TRUE	NA	NA	TRUE	High quality genome	SILK2023-Gr17-AC-17	1	0	0	0	0	0	0
PAQ87969.barcode45	8100506	N	34	100	0.41	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces sp026340885	Actinomycetota - g__Streptomyces	Streptomyces sp026340885	p__Actinomycetota	g__Streptomyces	6	6	6	6/6/6	24	7	TRUE	NA	TRUE	113	TRUE	NA	NA	TRUE	High quality genome	VIBO2023-Gr3-AC-5	0	1	1	0	0	0	0
PAQ87969.barcode46	4667053	Y	67	100	0.08	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Buttiauxella;s__Buttiauxella brennerae	Pseudomonadota - g__Buttiauxella	Buttiauxella brennerae	p__Pseudomonadota	g__Buttiauxella	9	8	8	9/8/8	26	1	TRUE	NA	TRUE	117	TRUE	NA	NA	TRUE	High quality genome	MARS2023-Gr3-AC-6	0	0	1	1	0	0	1
PAQ87969.barcode47	6425777	Y	46	100	0.45	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Aquipseudomonas;s__Aquipseudomonas azotoformans_A	Pseudomonadota - g__Aquipseudomonas	Aquipseudomonas azotoformans_A	p__Pseudomonadota	g__Aquipseudomonas	7	6	6	7/6/6	25	1	TRUE	NA	TRUE	117	TRUE	NA	NA	TRUE	High quality genome	MARS2023-Gr4-AC-9	1	0	1	0	0	1	1
PAQ87969.barcode48	6220658	Y	48	100	0.04	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Aquipseudomonas;s__Aquipseudomonas sp019956555	Pseudomonadota - g__Aquipseudomonas	Aquipseudomonas sp019956555	p__Pseudomonadota	g__Aquipseudomonas	7	6	6	7/6/6	25	1	TRUE	NA	TRUE	118	TRUE	NA	NA	TRUE	High quality genome	HJØR2023-Gr1-AC-1	0	0	1	0	0	1	0
PAQ87969.barcode49	3755908	Y	81	100	0	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus pumilus	Bacillota - g__Bacillus	Bacillus pumilus	p__Bacillota	g__Bacillus	8	8	8	8/8/8	26	1	TRUE	NA	TRUE	117	TRUE	NA	NA	TRUE	High quality genome	STG2023-Gr2-AC-14	0	1	1	1	1	1	1
PAQ87969.barcode50	2510759	N	51	100	1.34	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__DSM-1321;g__Peribacillus;s__Peribacillus frigoritolerans	Bacillota - g__Peribacillus	Peribacillus frigoritolerans	p__Bacillota	g__Peribacillus	14	12	13	14/12/13	25	15	TRUE	NA	TRUE	111	TRUE	NA	NA	TRUE	High quality genome	HJØR2023-Gr1-AC-5	1	0	1	0	0	0	1
PAQ87969.barcode51	5141621	Y	59	100	0.21	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales_A;f__Planococcaceae;g__Lysinibacillus;s__Lysinibacillus sp050272295	Bacillota - g__Lysinibacillus	Lysinibacillus sp050272295	p__Bacillota	g__Lysinibacillus	13	12	12	13/12/12	24	3	TRUE	NA	TRUE	114	TRUE	NA	NA	TRUE	High quality genome	HJØR2023-Gr3-AC-19	0	0	0	0	0	1	0
PAQ87969.barcode53	4544231	N	47	100	0.04	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Aquipseudomonas;s__Aquipseudomonas neuropathica	Pseudomonadota - g__Aquipseudomonas	Aquipseudomonas neuropathica	p__Pseudomonadota	g__Aquipseudomonas	7	6	6	7/6/6	26	4	TRUE	NA	TRUE	118	TRUE	NA	NA	TRUE	High quality genome	HJØR2023-Gr2-AC-17	1	0	1	0	1	1	0
PAQ87969.barcode54	6425781	Y	47	100	0.47	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Aquipseudomonas;s__Aquipseudomonas azotoformans_A	Pseudomonadota - g__Aquipseudomonas	Aquipseudomonas azotoformans_A	p__Pseudomonadota	g__Aquipseudomonas	7	6	6	7/6/6	24	1	TRUE	NA	TRUE	117	TRUE	NA	NA	TRUE	High quality genome	MARS2023-Gr4-AC-3	1	0	1	0	0	1	1
PAQ87969.barcode55	2248836	Y	130	100	0.05	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus hominis	Bacillota - g__Staphylococcus	Staphylococcus hominis	p__Bacillota	g__Staphylococcus	7	7	7	7/7/7	24	6	TRUE	NA	TRUE	118	TRUE	NA	NA	TRUE	High quality genome	STG2023-Gr2-AC-2	0	1	0	1	1	1	0
PAQ87969.barcode56	5175255	Y	56	100	0.5	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_C;g__Heyndrickxia;s__Heyndrickxia oleronia	Bacillota - g__Heyndrickxia	Heyndrickxia oleronia	p__Bacillota	g__Heyndrickxia	12	13	13	12/13/13	24	6	TRUE	NA	TRUE	110	TRUE	NA	NA	TRUE	High quality genome	STG2023-Gr2-AC-16	0	0	1	0	0	0	0
PAQ87969.barcode57	3837641	Y	80	100	0.28	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus altitudinis	Bacillota - g__Bacillus	Bacillus altitudinis	p__Bacillota	g__Bacillus	8	8	8	8/8/8	24	2	TRUE	NA	TRUE	117	TRUE	NA	NA	TRUE	High quality genome	STG2023-Gr2-AC-15	0	0	1	0	0	0	0
PAQ87969.barcode58	254294	N	23	100	1.24	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__DSM-1321;g__Peribacillus;s__Peribacillus frigoritolerans	Bacillota - g__Peribacillus	Peribacillus frigoritolerans	p__Bacillota	g__Peribacillus	13	13	11	13/13/11	25	196	FALSE	contigs>20;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	High quality genome	HJØR2023-Gr1-AC-18	1	0	1	0	0	1	0
PAQ87969.barcode59	3755934	Y	81	100	0	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus pumilus	Bacillota - g__Bacillus	Bacillus pumilus	p__Bacillota	g__Bacillus	8	8	8	8/8/8	26	1	TRUE	NA	TRUE	117	TRUE	NA	NA	TRUE	High quality genome	STG2023-Gr2-AC-4	0	1	1	0	0	1	1
PAQ87969.barcode60	3174386	N	56	100	0.26	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__DSM-1321;g__Peribacillus;s__Peribacillus simplex_A	Bacillota - g__Peribacillus	Peribacillus simplex_A	p__Bacillota	g__Peribacillus	10	9	9	10/9/9	24	16	TRUE	NA	TRUE	113	TRUE	NA	NA	TRUE	High quality genome	HJØR2023-Gr1-AC-16	1	0	1	0	0	1	0
PAQ87969.barcode61	2448447	N	55	100	3.64	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__DSM-1321;g__Peribacillus;s__Peribacillus butanolivorans	Bacillota - g__Peribacillus	Peribacillus butanolivorans	p__Bacillota	g__Peribacillus	12	12	12	12/12/12	26	23	FALSE	contigs>20;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	High quality genome	HJØR2023-Gr1-AC-17	1	0	1	0	0	1	0
