SEQID	qualifiers_product_list	number_product
PAQ87969.barcode16	NI-siderophore	1
PAQ87969.barcode16	NRP-metallophore	1
PAQ87969.barcode16	NRPS	1
PAQ87969.barcode16	arylpolyene	1
PAQ87969.barcode16	azole-containing-RiPP	1
PAQ87969.barcode16	terpene-precursor	1
PAQ87969.barcode17	NAPAA	1
PAQ87969.barcode17	NI-siderophore	1
PAQ87969.barcode17	RRE-containing	2
PAQ87969.barcode17	betalactone	1
PAQ87969.barcode17	ectoine	1
PAQ87969.barcode17	terpene	1
PAQ87969.barcode17	terpene-precursor	1
PAQ87969.barcode19	NI-siderophore	2
PAQ87969.barcode19	NRP-metallophore	1
PAQ87969.barcode19	NRPS	5
PAQ87969.barcode19	NRPS-like	2
PAQ87969.barcode19	RiPP-like	2
PAQ87969.barcode19	T1PKS	3
PAQ87969.barcode19	T2PKS	1
PAQ87969.barcode19	T3PKS	1
PAQ87969.barcode19	azole-containing-RiPP	2
PAQ87969.barcode19	betalactone	1
PAQ87969.barcode19	butyrolactone	4
PAQ87969.barcode19	ectoine	1
PAQ87969.barcode19	guanidinotides	1
PAQ87969.barcode19	hydrogen-cyanide	1
PAQ87969.barcode19	lanthipeptide-class-i	1
PAQ87969.barcode19	lanthipeptide-class-iv	1
PAQ87969.barcode19	lassopeptide	2
PAQ87969.barcode19	melanin	2
PAQ87969.barcode19	other	2
PAQ87969.barcode19	terpene	7
PAQ87969.barcode19	terpene-precursor	4
PAQ87969.barcode19	thioamitides	1
PAQ87969.barcode20	CDPS	2
PAQ87969.barcode20	NAPAA	1
PAQ87969.barcode20	NI-siderophore	3
PAQ87969.barcode20	NRPS	4
PAQ87969.barcode20	NRPS-like	3
PAQ87969.barcode20	PKS-like	1
PAQ87969.barcode20	RRE-containing	1
PAQ87969.barcode20	RiPP-like	2
PAQ87969.barcode20	T1PKS	6
PAQ87969.barcode20	T2PKS	1
PAQ87969.barcode20	T3PKS	3
PAQ87969.barcode20	aminopolycarboxylic-acid	1
PAQ87969.barcode20	atropopeptide	1
PAQ87969.barcode20	azole-containing-RiPP	1
PAQ87969.barcode20	betalactone	2
PAQ87969.barcode20	butyrolactone	1
PAQ87969.barcode20	hglE-KS	1
PAQ87969.barcode20	hydrogen-cyanide	1
PAQ87969.barcode20	lanthipeptide-class-ii	1
PAQ87969.barcode20	lanthipeptide-class-iii	1
PAQ87969.barcode20	melanin	3
PAQ87969.barcode20	other	1
PAQ87969.barcode20	phosphonate	1
PAQ87969.barcode20	terpene	9
PAQ87969.barcode20	terpene-precursor	3
PAQ87969.barcode20	thioamitides	1
PAQ87969.barcode21	NAPAA	1
PAQ87969.barcode21	NI-siderophore	1
PAQ87969.barcode21	NRPS	7
PAQ87969.barcode21	NRPS-like	6
PAQ87969.barcode21	RiPP-like	2
PAQ87969.barcode21	T1PKS	8
PAQ87969.barcode21	T2PKS	2
PAQ87969.barcode21	T3PKS	2
PAQ87969.barcode21	hydrogen-cyanide	1
PAQ87969.barcode21	lanthipeptide-class-i	1
PAQ87969.barcode21	lassopeptide	1
PAQ87969.barcode21	linaridin	1
PAQ87969.barcode21	nucleoside	2
PAQ87969.barcode21	terpene	5
PAQ87969.barcode21	terpene-precursor	6
PAQ87969.barcode22	CDPS	1
PAQ87969.barcode22	NAPAA	1
PAQ87969.barcode22	NI-siderophore	3
PAQ87969.barcode22	NRP-metallophore	1
PAQ87969.barcode22	NRPS	7
PAQ87969.barcode22	NRPS-like	4
PAQ87969.barcode22	PKS-like	4
PAQ87969.barcode22	RiPP-like	2
PAQ87969.barcode22	T1PKS	3
PAQ87969.barcode22	T2PKS	2
PAQ87969.barcode22	T3PKS	1
PAQ87969.barcode22	azole-containing-RiPP	1
PAQ87969.barcode22	butyrolactone	3
PAQ87969.barcode22	cyanobactin	1
PAQ87969.barcode22	hglE-KS	1
PAQ87969.barcode22	hydrogen-cyanide	1
PAQ87969.barcode22	lanthipeptide-class-i	1
PAQ87969.barcode22	lanthipeptide-class-iii	2
PAQ87969.barcode22	lanthipeptide-class-iv	1
PAQ87969.barcode22	melanin	1
PAQ87969.barcode22	oligosaccharide	1
PAQ87969.barcode22	other	1
PAQ87969.barcode22	phosphonate	1
PAQ87969.barcode22	terpene	6
PAQ87969.barcode22	terpene-precursor	2
PAQ87969.barcode22	transAT-PKS	1
PAQ87969.barcode23	CDPS	1
PAQ87969.barcode23	NAPAA	2
PAQ87969.barcode23	NI-siderophore	2
PAQ87969.barcode23	NRPS	8
PAQ87969.barcode23	NRPS-like	7
PAQ87969.barcode23	RRE-containing	1
PAQ87969.barcode23	RiPP-like	6
PAQ87969.barcode23	T1PKS	4
PAQ87969.barcode23	T2PKS	2
PAQ87969.barcode23	T3PKS	3
PAQ87969.barcode23	azoxy-crosslink	1
PAQ87969.barcode23	betalactone	1
PAQ87969.barcode23	butyrolactone	1
PAQ87969.barcode23	ectoine	2
PAQ87969.barcode23	hglE-KS	1
PAQ87969.barcode23	hserlactone	1
PAQ87969.barcode23	hydrogen-cyanide	1
PAQ87969.barcode23	indole	1
PAQ87969.barcode23	lanthipeptide-class-i	1
PAQ87969.barcode23	lanthipeptide-class-ii	1
PAQ87969.barcode23	other	2
PAQ87969.barcode23	phenazine	1
PAQ87969.barcode23	ranthipeptide	1
PAQ87969.barcode23	redox-cofactor	1
PAQ87969.barcode23	terpene	7
PAQ87969.barcode23	terpene-precursor	1
PAQ87969.barcode23	transAT-PKS-like	1
PAQ87969.barcode24	NI-siderophore	2
PAQ87969.barcode24	NRP-metallophore	1
PAQ87969.barcode24	NRPS	8
PAQ87969.barcode24	NRPS-like	3
PAQ87969.barcode24	PKS-like	1
PAQ87969.barcode24	RiPP-like	3
PAQ87969.barcode24	T1PKS	4
PAQ87969.barcode24	T2PKS	2
PAQ87969.barcode24	T3PKS	1
PAQ87969.barcode24	arylpolyene	1
PAQ87969.barcode24	azole-containing-RiPP	1
PAQ87969.barcode24	azoxy-crosslink	1
PAQ87969.barcode24	betalactone	2
PAQ87969.barcode24	blactam	1
PAQ87969.barcode24	butyrolactone	2
PAQ87969.barcode24	ectoine	2
PAQ87969.barcode24	hglE-KS	1
PAQ87969.barcode24	lanthipeptide-class-i	1
PAQ87969.barcode24	lanthipeptide-class-ii	1
PAQ87969.barcode24	lanthipeptide-class-iii	1
PAQ87969.barcode24	melanin	1
PAQ87969.barcode24	terpene	5
PAQ87969.barcode24	terpene-precursor	3
PAQ87969.barcode25	CDPS	1
PAQ87969.barcode25	NAPAA	2
PAQ87969.barcode25	NI-siderophore	3
PAQ87969.barcode25	NRPS	6
PAQ87969.barcode25	NRPS-like	6
PAQ87969.barcode25	PKS-like	2
PAQ87969.barcode25	RiPP-like	2
PAQ87969.barcode25	T1PKS	6
PAQ87969.barcode25	T2PKS	1
PAQ87969.barcode25	T3PKS	1
PAQ87969.barcode25	arylpolyene	2
PAQ87969.barcode25	azole-containing-RiPP	1
PAQ87969.barcode25	butyrolactone	3
PAQ87969.barcode25	ectoine	1
PAQ87969.barcode25	furan	1
PAQ87969.barcode25	guanidinotides	1
PAQ87969.barcode25	hydrogen-cyanide	1
PAQ87969.barcode25	lanthipeptide-class-ii	1
PAQ87969.barcode25	lanthipeptide-class-iii	1
PAQ87969.barcode25	lanthipeptide-class-iv	1
PAQ87969.barcode25	lassopeptide	1
PAQ87969.barcode25	melanin	2
PAQ87969.barcode25	nucleoside	1
PAQ87969.barcode25	phenazine	1
PAQ87969.barcode25	proteusin	1
PAQ87969.barcode25	terpene	9
PAQ87969.barcode25	terpene-precursor	4
PAQ87969.barcode25	triceptide	1
PAQ87969.barcode26	NAPAA	1
PAQ87969.barcode26	NRPS	4
PAQ87969.barcode26	RiPP-like	1
PAQ87969.barcode26	T1PKS	1
PAQ87969.barcode26	arylpolyene	1
PAQ87969.barcode26	betalactone	2
PAQ87969.barcode26	hserlactone	1
PAQ87969.barcode26	hydrogen-cyanide	1
PAQ87969.barcode26	terpene	1
PAQ87969.barcode26	terpene-precursor	2
PAQ87969.barcode27	NAGGN	1
PAQ87969.barcode27	NRP-metallophore	2
PAQ87969.barcode27	NRPS	3
PAQ87969.barcode27	RiPP-like	2
PAQ87969.barcode27	hserlactone	1
PAQ87969.barcode27	ranthipeptide	1
PAQ87969.barcode27	redox-cofactor	1
PAQ87969.barcode27	terpene-precursor	1
PAQ87969.barcode28	NI-siderophore	1
PAQ87969.barcode28	NRPS-like	1
PAQ87969.barcode28	RiPP-like	4
PAQ87969.barcode28	T1PKS	1
PAQ87969.barcode28	arylpolyene	1
PAQ87969.barcode28	betalactone	1
PAQ87969.barcode28	redox-cofactor	1
PAQ87969.barcode28	terpene-precursor	1
PAQ87969.barcode30	CDPS	1
PAQ87969.barcode30	NI-siderophore	1
PAQ87969.barcode30	RiPP-like	2
PAQ87969.barcode30	T2PKS	1
PAQ87969.barcode30	T3PKS	1
PAQ87969.barcode30	atropopeptide	1
PAQ87969.barcode30	butyrolactone	2
PAQ87969.barcode30	terpene	2
PAQ87969.barcode31	NI-siderophore	2
PAQ87969.barcode31	NRP-metallophore	1
PAQ87969.barcode31	NRPS	4
PAQ87969.barcode31	NRPS-like	2
PAQ87969.barcode31	PKS-like	1
PAQ87969.barcode31	RiPP-like	2
PAQ87969.barcode31	T1PKS	3
PAQ87969.barcode31	T3PKS	4
PAQ87969.barcode31	arylpolyene	1
PAQ87969.barcode31	azole-containing-RiPP	1
PAQ87969.barcode31	butyrolactone	3
PAQ87969.barcode31	ectoine	1
PAQ87969.barcode31	hglE-KS	2
PAQ87969.barcode31	lanthipeptide-class-iii	1
PAQ87969.barcode31	lanthipeptide-class-v	1
PAQ87969.barcode31	linaridin	1
PAQ87969.barcode31	melanin	1
PAQ87969.barcode31	other	3
PAQ87969.barcode31	phenazine	1
PAQ87969.barcode31	phosphonate	1
PAQ87969.barcode31	terpene	7
PAQ87969.barcode31	terpene-precursor	5
PAQ87969.barcode31	thioamide-NRP	1
PAQ87969.barcode32	NRPS	1
PAQ87969.barcode32	NRPS-like	1
PAQ87969.barcode32	T3PKS	1
PAQ87969.barcode32	hserlactone	1
PAQ87969.barcode32	lassopeptide	2
PAQ87969.barcode32	phosphonate	1
PAQ87969.barcode32	terpene	2
PAQ87969.barcode32	terpene-precursor	1
PAQ87969.barcode33	HR-T2PKS	1
PAQ87969.barcode33	NAPAA	2
PAQ87969.barcode33	NI-siderophore	4
PAQ87969.barcode33	NRPS	4
PAQ87969.barcode33	NRPS-like	2
PAQ87969.barcode33	RRE-containing	1
PAQ87969.barcode33	RiPP-like	3
PAQ87969.barcode33	T1PKS	8
PAQ87969.barcode33	T2PKS	2
PAQ87969.barcode33	butyrolactone	2
PAQ87969.barcode33	ectoine	1
PAQ87969.barcode33	furan	1
PAQ87969.barcode33	hglE-KS	2
PAQ87969.barcode33	hydrogen-cyanide	1
PAQ87969.barcode33	lanthipeptide-class-iii	1
PAQ87969.barcode33	lanthipeptide-class-iv	1
PAQ87969.barcode33	melanin	1
PAQ87969.barcode33	ranthipeptide	1
PAQ87969.barcode33	terpene	8
PAQ87969.barcode33	terpene-precursor	3
PAQ87969.barcode35	CDPS	1
PAQ87969.barcode35	NAPAA	1
PAQ87969.barcode35	NI-siderophore	3
PAQ87969.barcode35	NRP-metallophore	1
PAQ87969.barcode35	NRPS	4
PAQ87969.barcode35	NRPS-like	1
PAQ87969.barcode35	PKS-like	1
PAQ87969.barcode35	RRE-containing	2
PAQ87969.barcode35	RiPP-like	2
PAQ87969.barcode35	T1PKS	6
PAQ87969.barcode35	T2PKS	2
PAQ87969.barcode35	T3PKS	1
PAQ87969.barcode35	azole-containing-RiPP	1
PAQ87969.barcode35	butyrolactone	3
PAQ87969.barcode35	ectoine	1
PAQ87969.barcode35	hglE-KS	1
PAQ87969.barcode35	hydrogen-cyanide	1
PAQ87969.barcode35	lanthipeptide-class-i	1
PAQ87969.barcode35	lanthipeptide-class-ii	1
PAQ87969.barcode35	lanthipeptide-class-iii	2
PAQ87969.barcode35	melanin	1
PAQ87969.barcode35	other	1
PAQ87969.barcode35	polyyne	1
PAQ87969.barcode35	terpene	10
PAQ87969.barcode35	terpene-precursor	4
PAQ87969.barcode35	transAT-PKS	1
PAQ87969.barcode36	NI-siderophore	2
PAQ87969.barcode36	NRP-metallophore	1
PAQ87969.barcode36	NRPS	4
PAQ87969.barcode36	NRPS-like	2
PAQ87969.barcode36	PKS-like	1
PAQ87969.barcode36	RiPP-like	2
PAQ87969.barcode36	T1PKS	6
PAQ87969.barcode36	T3PKS	3
PAQ87969.barcode36	aminocoumarin	1
PAQ87969.barcode36	azole-containing-RiPP	1
PAQ87969.barcode36	butyrolactone	2
PAQ87969.barcode36	ectoine	1
PAQ87969.barcode36	hglE-KS	2
PAQ87969.barcode36	lanthipeptide-class-iii	1
PAQ87969.barcode36	lanthipeptide-class-v	1
PAQ87969.barcode36	lassopeptide	1
PAQ87969.barcode36	melanin	1
PAQ87969.barcode36	other	2
PAQ87969.barcode36	redox-cofactor	1
PAQ87969.barcode36	terpene	6
PAQ87969.barcode36	terpene-precursor	4
PAQ87969.barcode37	CDPS	2
PAQ87969.barcode37	NAPAA	1
PAQ87969.barcode37	NI-siderophore	3
PAQ87969.barcode37	NRP-metallophore	2
PAQ87969.barcode37	NRPS	8
PAQ87969.barcode37	NRPS-like	4
PAQ87969.barcode37	PKS-like	1
PAQ87969.barcode37	RiPP-like	3
PAQ87969.barcode37	T1PKS	4
PAQ87969.barcode37	T2PKS	2
PAQ87969.barcode37	T3PKS	1
PAQ87969.barcode37	arylpolyene	1
PAQ87969.barcode37	azole-containing-RiPP	3
PAQ87969.barcode37	butyrolactone	1
PAQ87969.barcode37	hglE-KS	1
PAQ87969.barcode37	hydrogen-cyanide	1
PAQ87969.barcode37	lanthipeptide-class-iv	1
PAQ87969.barcode37	melanin	1
PAQ87969.barcode37	nucleoside	1
PAQ87969.barcode37	terpene	7
PAQ87969.barcode37	terpene-precursor	2
PAQ87969.barcode38	CDPS	1
PAQ87969.barcode38	NAPAA	1
PAQ87969.barcode38	NI-siderophore	3
PAQ87969.barcode38	NRP-metallophore	1
PAQ87969.barcode38	NRPS	7
PAQ87969.barcode38	NRPS-like	5
PAQ87969.barcode38	PKS-like	3
PAQ87969.barcode38	RiPP-like	2
PAQ87969.barcode38	T1PKS	3
PAQ87969.barcode38	T2PKS	2
PAQ87969.barcode38	T3PKS	1
PAQ87969.barcode38	azole-containing-RiPP	1
PAQ87969.barcode38	butyrolactone	2
PAQ87969.barcode38	hglE-KS	1
PAQ87969.barcode38	hydrogen-cyanide	1
PAQ87969.barcode38	lanthipeptide-class-i	2
PAQ87969.barcode38	lanthipeptide-class-iii	2
PAQ87969.barcode38	lanthipeptide-class-iv	1
PAQ87969.barcode38	melanin	1
PAQ87969.barcode38	oligosaccharide	1
PAQ87969.barcode38	other	1
PAQ87969.barcode38	phosphonate	1
PAQ87969.barcode38	terpene	8
PAQ87969.barcode38	terpene-precursor	2
PAQ87969.barcode38	thioamitides	2
PAQ87969.barcode38	triceptide	1
PAQ87969.barcode39	NAPAA	1
PAQ87969.barcode39	NI-siderophore	2
PAQ87969.barcode39	NRPS	8
PAQ87969.barcode39	NRPS-like	6
PAQ87969.barcode39	PKS-like	1
PAQ87969.barcode39	RRE-containing	1
PAQ87969.barcode39	RiPP-like	3
PAQ87969.barcode39	T1PKS	4
PAQ87969.barcode39	T2PKS	2
PAQ87969.barcode39	T3PKS	2
PAQ87969.barcode39	amglyccycl	1
PAQ87969.barcode39	arylpolyene	1
PAQ87969.barcode39	azole-containing-RiPP	2
PAQ87969.barcode39	betalactone	1
PAQ87969.barcode39	butyrolactone	1
PAQ87969.barcode39	guanidinotides	1
PAQ87969.barcode39	hglE-KS	1
PAQ87969.barcode39	hydrogen-cyanide	1
PAQ87969.barcode39	lanthipeptide-class-i	1
PAQ87969.barcode39	lanthipeptide-class-ii	2
PAQ87969.barcode39	lanthipeptide-class-iv	3
PAQ87969.barcode39	other	1
PAQ87969.barcode39	terpene	9
PAQ87969.barcode39	terpene-precursor	4
PAQ87969.barcode39	transAT-PKS	2
PAQ87969.barcode40	CDPS	1
PAQ87969.barcode40	HR-T2PKS	1
PAQ87969.barcode40	NAPAA	2
PAQ87969.barcode40	NI-siderophore	2
PAQ87969.barcode40	NRPS	6
PAQ87969.barcode40	NRPS-like	5
PAQ87969.barcode40	PKS-like	1
PAQ87969.barcode40	RiPP-like	4
PAQ87969.barcode40	T1PKS	6
PAQ87969.barcode40	T2PKS	1
PAQ87969.barcode40	T3PKS	2
PAQ87969.barcode40	atropopeptide	1
PAQ87969.barcode40	azole-containing-RiPP	1
PAQ87969.barcode40	azoxy-crosslink	2
PAQ87969.barcode40	butyrolactone	3
PAQ87969.barcode40	ectoine	2
PAQ87969.barcode40	hglE-KS	2
PAQ87969.barcode40	hydrogen-cyanide	1
PAQ87969.barcode40	lanthipeptide-class-i	3
PAQ87969.barcode40	lanthipeptide-class-ii	1
PAQ87969.barcode40	lanthipeptide-class-iii	1
PAQ87969.barcode40	melanin	2
PAQ87969.barcode40	oligosaccharide	1
PAQ87969.barcode40	other	3
PAQ87969.barcode40	phosphonate	1
PAQ87969.barcode40	redox-cofactor	1
PAQ87969.barcode40	terpene	9
PAQ87969.barcode40	terpene-precursor	4
PAQ87969.barcode40	thioamide-NRP	1
PAQ87969.barcode41	CDPS	1
PAQ87969.barcode41	HR-T2PKS	1
PAQ87969.barcode41	NAPAA	2
PAQ87969.barcode41	NI-siderophore	2
PAQ87969.barcode41	NRPS	8
PAQ87969.barcode41	NRPS-like	5
PAQ87969.barcode41	PKS-like	1
PAQ87969.barcode41	RiPP-like	5
PAQ87969.barcode41	T1PKS	7
PAQ87969.barcode41	T2PKS	1
PAQ87969.barcode41	T3PKS	3
PAQ87969.barcode41	atropopeptide	1
PAQ87969.barcode41	azole-containing-RiPP	1
PAQ87969.barcode41	azoxy-crosslink	2
PAQ87969.barcode41	butyrolactone	3
PAQ87969.barcode41	ectoine	2
PAQ87969.barcode41	hglE-KS	2
PAQ87969.barcode41	hydrogen-cyanide	1
PAQ87969.barcode41	indole	1
PAQ87969.barcode41	lanthipeptide-class-i	3
PAQ87969.barcode41	lanthipeptide-class-ii	1
PAQ87969.barcode41	lanthipeptide-class-iii	1
PAQ87969.barcode41	melanin	2
PAQ87969.barcode41	oligosaccharide	1
PAQ87969.barcode41	other	3
PAQ87969.barcode41	phosphonate	1
PAQ87969.barcode41	redox-cofactor	1
PAQ87969.barcode41	terpene	9
PAQ87969.barcode41	terpene-precursor	4
PAQ87969.barcode41	thioamide-NRP	1
PAQ87969.barcode41	triceptide	1
PAQ87969.barcode42	NI-siderophore	1
PAQ87969.barcode42	T3PKS	1
PAQ87969.barcode42	betalactone	1
PAQ87969.barcode42	hydrogen-cyanide	1
PAQ87969.barcode42	resorcinol	1
PAQ87969.barcode42	terpene	1
PAQ87969.barcode42	terpene-precursor	2
PAQ87969.barcode43	NAPAA	2
PAQ87969.barcode43	NI-siderophore	1
PAQ87969.barcode43	NRP-metallophore	2
PAQ87969.barcode43	NRPS	9
PAQ87969.barcode43	NRPS-like	5
PAQ87969.barcode43	RiPP-like	4
PAQ87969.barcode43	T1PKS	5
PAQ87969.barcode43	T2PKS	2
PAQ87969.barcode43	T3PKS	2
PAQ87969.barcode43	arylpolyene	1
PAQ87969.barcode43	atropopeptide	1
PAQ87969.barcode43	butyrolactone	1
PAQ87969.barcode43	ectoine	1
PAQ87969.barcode43	hydrogen-cyanide	1
PAQ87969.barcode43	lanthipeptide-class-i	1
PAQ87969.barcode43	lassopeptide	2
PAQ87969.barcode43	polyhalogenated-pyrrole	1
PAQ87969.barcode43	terpene	7
PAQ87969.barcode43	terpene-precursor	3
PAQ87969.barcode43	transAT-PKS	1
PAQ87969.barcode44	CDPS	1
PAQ87969.barcode44	NAPAA	2
PAQ87969.barcode44	NI-siderophore	2
PAQ87969.barcode44	NRPS	13
PAQ87969.barcode44	NRPS-like	7
PAQ87969.barcode44	PKS-like	1
PAQ87969.barcode44	RRE-containing	1
PAQ87969.barcode44	RiPP-like	2
PAQ87969.barcode44	T1PKS	8
PAQ87969.barcode44	T2PKS	1
PAQ87969.barcode44	T3PKS	2
PAQ87969.barcode44	azole-containing-RiPP	2
PAQ87969.barcode44	betalactone	2
PAQ87969.barcode44	butyrolactone	3
PAQ87969.barcode44	ectoine	1
PAQ87969.barcode44	guanidinotides	1
PAQ87969.barcode44	hydrogen-cyanide	1
PAQ87969.barcode44	lanthipeptide-class-i	2
PAQ87969.barcode44	lanthipeptide-class-ii	1
PAQ87969.barcode44	lanthipeptide-class-iii	1
PAQ87969.barcode44	lanthipeptide-class-iv	3
PAQ87969.barcode44	lanthipeptide-class-v	1
PAQ87969.barcode44	lassopeptide	2
PAQ87969.barcode44	other	1
PAQ87969.barcode44	terpene	7
PAQ87969.barcode44	terpene-precursor	4
PAQ87969.barcode44	transAT-PKS	1
PAQ87969.barcode45	2dos	1
PAQ87969.barcode45	NAPAA	2
