sample	completeness	contamination	contigs	total_bp	status	reason
PAW76169.barcode23	100.00	0.15	1	6248987	PASS	-
PAW76169.barcode24	100.00	0.15	1	6248986	PASS	-
PAW76169.barcode25	100.00	0.15	3	6248740	PASS	-
PAW76169.barcode26	100.00	0.15	1	6248987	PASS	-
PAW76169.barcode27	100.00	0.72	10	5866865	PASS	-
PAW76169.barcode28	100.00	0.55	7	6021389	PASS	-
PAW76169.barcode29	100.00	2.64	3	5624856	PASS	-
PAW76169.barcode30	100.00	0.37	8	5781494	PASS	-
PAW76169.barcode31	100.00	0.02	10	5617948	PASS	-
PAW76169.barcode32	100.00	0.23	5	9653116	PASS	-
PAW76169.barcode33	100.00	0.32	6	8544305	PASS	-
PAW76169.barcode34	100.00	0.00	1	7202722	PASS	-
PAW76169.barcode35	100.00	3.07	14	5757284	PASS	-
PAW76169.barcode36	99.99	0.34	6	8929138	PASS	-
PAW76169.barcode37	100.00	0.21	3	10148132	PASS	-
PAW76169.barcode38	100.00	0.00	8	3951195	PASS	-
PAW76169.barcode39	100.00	0.44	8	5908774	PASS	-
PAW76169.barcode41	100.00	0.00	2	8784105	PASS	-
PAW76169.barcode42	100.00	0.50	3	5302685	PASS	-
PAW76169.barcode44	100.00	0.14	1	5454689	PASS	-
PAW76169.barcode45	100.00	0.14	1	5454687	PASS	-
PAW76169.barcode47	100.00	0.13	4	5362481	PASS	-
PAW76169.barcode48	100.00	0.72	13	6202982	PASS	-
PAW76169.barcode49	100.00	1.55	1	6935965	PASS	-
PAW76169.barcode50	100.00	0.01	4	4006258	PASS	-
PAW76169.barcode51	100.00	0.16	1	5402236	PASS	-
PAW76169.barcode52	100.00	0.01	1	6495019	PASS	-
PAW76169.barcode53	100.00	2.89	7	6171856	PASS	-
PAW76169.barcode54	100.00	6.14	8	6317226	FAIL	contamination>=5;
PAW76169.barcode55	100.00	0.35	6	5677593	PASS	-
PAW76169.barcode56	100.00	0.03	2	5196392	PASS	-
PAW76169.barcode57	100.00	0.06	3	5557258	PASS	-
PAW76169.barcode58	100.00	0.24	1	4410340	PASS	-
PAW76169.barcode59	99.91	0.76	3	9421412	PASS	-
PAW76169.barcode60	100.00	0.23	10	9244904	PASS	-
PAW76169.barcode61	100.00	0.83	1	6592203	PASS	-
PAW76169.barcode62	100.00	0.09	1	5834487	PASS	-
PAW76169.barcode63	100.00	2.01	6	11614957	PASS	-
PAW76169.barcode64	100.00	0.13	4	10640894	PASS	-
PAW76169.barcode65	100.00	78.51	12	10249743	FAIL	contamination>=5;
PAW76169.barcode66	100.00	0.05	2	8815193	PASS	-
PAW76169.barcode67	100.00	0.02	1	4058327	PASS	-
PAW76169.barcode68	100.00	0.18	1	5529520	PASS	-
PAW76169.barcode69	100.00	0.42	3	8783690	PASS	-
PAW76169.barcode70	100.00	0.12	10	5650705	PASS	-
PAW76169.barcode71	100.00	0.21	5	6577752	PASS	-
PAW76169.barcode72	100.00	3.95	5	9273538	PASS	-
PAW76169.barcode73	99.99	1.44	3	8565494	PASS	-
PAW76169.barcode74	100.00	0.24	3	5838884	PASS	-
PAW76169.barcode75	100.00	0.44	7	10274926	PASS	-
PAW76169.barcode76	100.00	0.43	7	2940517	PASS	-
PAW76169.barcode77	100.00	0.80	4	8239325	PASS	-
PAW76169.barcode78	100.00	0.43	4	2949781	PASS	-
PAW76169.barcode79	100.00	0.34	4	5693430	PASS	-
PAW76169.barcode80	100.00	1.43	424	9833780	FAIL	contigs>20;
PAW76169.barcode81	100.00	0.12	51	8999609	FAIL	contigs>20;
PAW76169.barcode82	99.98	0.65	4	10349076	PASS	-
PAW76169.barcode83	100.00	1.61	1	7514259	PASS	-
PAW76169.barcode84	100.00	0.02	1	4637049	PASS	-
PAW76169.barcode86	100.00	0.55	1	4548907	PASS	-
PAW76169.barcode87	99.92	0.13	253	8369834	FAIL	contigs>20;
PAW76169.barcode88	100.00	2.03	331	4140829	FAIL	contigs>20;
PAW76169.barcode89	100.00	0.16	2	5365838	PASS	-
PAW76169.barcode90	100.00	0.18	1	4014905	PASS	-
PAW76169.barcode91	100.00	0.03	3	5347174	PASS	-
PAW76169.barcode92	100.00	0.68	1	5428207	PASS	-
PAW76169.barcode93	100.00	0.23	19	7663694	PASS	-
PAW76169.barcode94	100.00	0.15	1	6248987	PASS	-
PAW76169.barcode95	100.00	1.42	1	6698806	PASS	-
PAW76169.barcode96	100.00	0.69	21	6375415	FAIL	contigs>20;
PAY08219.barcode01	100.00	0.34	4	5455567	PASS	-
PAY08219.barcode02	100.00	0.03	1	4582427	PASS	-
PAY08219.barcode03	100.00	85.51	32	10804790	FAIL	contamination>=5;contigs>20;
PAY08219.barcode04	100.00	0.17	6	6050750	PASS	-
PAY08219.barcode05	99.92	0.17	1	2370304	PASS	-
PAY08219.barcode06	100.00	0.86	3	5957238	PASS	-
PAY08219.barcode07	99.99	0.00	1	7219264	PASS	-
PAY08219.barcode08	99.92	0.04	2	2376470	PASS	-
PAY08219.barcode09	100.00	0.89	5	6156013	PASS	-
PAY08219.barcode10	100.00	1.65	13	6343439	PASS	-
PAY08219.barcode11	100.00	0.15	14	6013012	PASS	-
PAY08219.barcode12	100.00	0.28	1	5425456	PASS	-
PAY08219.barcode13	100.00	79.76	137	8634639	FAIL	contamination>=5;contigs>20;
PAY08219.barcode14	100.00	0.00	1	5685758	PASS	-
PAY08219.barcode15	99.94	0.60	1	4354207	PASS	-
PAY08219.barcode16	100.00	0.56	1	6278537	PASS	-
PAY08219.barcode17	100.00	1.28	3	5584159	PASS	-
PAY08219.barcode18	100.00	2.11	11	11108295	PASS	-
PAY08219.barcode19	100.00	0.00	2	7045442	PASS	-
PAY08219.barcode20	100.00	69.78	32	6625813	FAIL	contamination>=5;contigs>20;
PAY08219.barcode21	100.00	87.31	14	10782255	FAIL	contamination>=5;
PAY08219.barcode22	100.00	75.41	65	10835728	FAIL	contamination>=5;contigs>20;
PAY08219.barcode23	100.00	95.04	4	12015809	FAIL	contamination>=5;
PAY08219.barcode24	99.95	0.28	3	9175788	PASS	-
PAY08219.barcode25	100.00	1.11	18	6200099	PASS	-
PAY08219.barcode26	99.99	0.17	1	3655198	PASS	-
PAY08219.barcode27	100.00	0.10	4	3460358	PASS	-
PAY08219.barcode28	100.00	0.12	1	6185265	PASS	-
PAY08219.barcode29	100.00	0.68	1	5428163	PASS	-
PAY08219.barcode31	99.94	0.65	6	5749745	PASS	-
PAY08219.barcode32	80.85	5.13	474	5419262	FAIL	completeness<90;contamination>=5;contigs>20;
PAY08219.barcode33	100.00	2.91	31	4851725	FAIL	contigs>20;
PAY08219.barcode34	100.00	1.88	33	4235952	FAIL	contigs>20;
PAY08219.barcode35	100.00	2.34	31	5996552	FAIL	contigs>20;
PAY08219.barcode36	100.00	23.06	103	8014690	FAIL	contamination>=5;contigs>20;
PAY08219.barcode37	100.00	0.27	2	6724590	PASS	-
PAY08219.barcode38	100.00	0.03	1	6270845	PASS	-
PAY08219.barcode39	100.00	0.12	1	4643490	PASS	-
PAY08219.barcode40	100.00	0.18	3	5079653	PASS	-
PAY08219.barcode41	99.99	0.04	12	2507791	PASS	-
PAY08219.barcode42	100.00	0.68	1	5428176	PASS	-
PBI66098.barcode01	92.74	4.71	981	9093219	FAIL	contigs>20;
PBI66098.barcode02	60.38	1.11	1148	5670987	FAIL	completeness<90;contigs>20;
PBI66098.barcode03	99.89	0.47	58	8465691	FAIL	contigs>20;
PBI66098.barcode04	100.00	0.97	40	9207328	FAIL	contigs>20;
PBI66098.barcode05	71.72	2.13	1263	6071332	FAIL	completeness<90;contigs>20;
PBI66098.barcode06	100.00	1.11	8	9058071	PASS	-
PBI66098.barcode07	99.98	0.51	3	8495413	PASS	-
PBI66098.barcode08	99.95	3.25	719	9430864	FAIL	contigs>20;
PBI66098.barcode09	99.93	3.50	681	8909453	FAIL	contigs>20;
PBI66098.barcode10	99.14	0.71	372	8430744	FAIL	contigs>20;
PBI66098.barcode11	50.07	0.92	886	4063067	FAIL	completeness<90;contigs>20;
PBI66098.barcode12	100.00	0.25	234	9665742	FAIL	contigs>20;
PBI66098.barcode13	99.88	0.33	1	3621630	PASS	-
PBI66098.barcode14	42.91	0.49	780	3533034	FAIL	completeness<90;contigs>20;
PBI66098.barcode15	99.98	0.52	62	8505329	FAIL	contigs>20;
PBI66098.barcode16	100.00	0.80	1	6010523	PASS	-
PBI66098.barcode17	100.00	0.23	2	5535204	PASS	-
PBI66098.barcode18	10.65	0.03	152	529955	FAIL	completeness<90;contigs>20;size<1500000;
PBI66098.barcode20	100.00	0.73	1	6149631	PASS	-
PBI66098.barcode21	99.89	0.26	1	3621646	PASS	-
PBI66098.barcode22	99.88	0.26	1	3621637	PASS	-
PBI66098.barcode23	100.00	0.21	40	6212006	FAIL	contigs>20;
PBI66098.barcode24	100.00	0.19	3	5895689	PASS	-
PBI66098.barcode25	100.00	0.01	1	4751388	PASS	-
PBI66098.barcode26	100.00	0.65	12	5727469	PASS	-
PBI66098.barcode27	100.00	0.18	1	5433486	PASS	-
PBI66098.barcode28	100.00	0.18	1	5433482	PASS	-
PBI66098.barcode29	100.00	0.36	2	5528855	PASS	-
PBI66098.barcode30	100.00	0.89	1	6530540	PASS	-
PBI66098.barcode31	100.00	0.80	1	6552448	PASS	-
PBI66098.barcode32	100.00	0.05	5	5560407	PASS	-
PBI66098.barcode33	100.00	0.33	7	5470015	PASS	-
PBI66098.barcode34	100.00	0.05	3	5334049	PASS	-
